,Zig,Go,Rust
perf,,,
cycles,1982035.2,2311774.6,2114413.4
instructions,999098,1147068.8,993276.2
cache-references,377027.6,435907,374536.2
cache-misses,8755.4,10840.6,8912
branches,196353.6,225375.2,195133.6
branch-misses,11447.6,14643.8,10958.2
page-faults,22.4,29.2,22.6
context-switches,3,8,2
cpu-migrations,0.4,0.8,0.4
LLC-load-misses,9200.6,12856,10763.8
time elapsed (s),119.1245866,114.4753246,148.3492273
dnsperf,,,
Queries sent,5000000,5000000,5000000
Queries completed,5000000,5000000,4999996
Queries lost,0,0,4
Run time (s),118.6080978,113.7033828,147.912659
Queries per second,42163.89711,43976.08177,33804.46315
Average Latency (s),0.0023556,0.002111,0.0029156
Min Latency (s),0.0000526,0.0000496,0.0000832
Max Latency (s),0.0141988,0.0104074,0.0133802
Latency StdDev (s),0.0004592,0.000699,0.0005236
