,Zig,Go,Rust
perf,,,
cycles,1791567.6,2057212.8,2156540.4
instructions,1010563.4,1020259.6,1005810.4
cache-references,378415,384030.6,378050
cache-misses,8817.2,9285,9007.6
branches,199669.6,200747.2,197373
branch-misses,11451,11158.6,11296.2
page-faults,22.6,29.4,22.6
context-switches,2.4,2.6,2.6
cpu-migrations,0.2,0.4,0.2
LLC-load-misses,8456.6,10900.4,14004
time elapsed (s),54.65528365,105.8651737,36.43993419
dnsperf,,,
Queries sent,5000000,5000000,5000000
Queries completed,5000000,5000000,4999998
Queries lost,0,0,2
Run time (s),54.2637102,105.3657234,35.7365944
Queries per second,92145.59254,47454.08707,139987.8016
Average Latency (s),0.0010354,0.0019586,0.0004024
Min Latency (s),0.0000218,0.0000394,0.0000132
Max Latency (s),0.0061244,0.010414,0.0188502
Latency StdDev (s),0.0001882,0.0006478,0.0003602
