,Zig,Go,Rust
perf,,,
cycles,1858602.8,2041655,1795838.4
instructions,1014034.4,1027309.2,1002272.2
cache-references,378319,386415.6,376637.4
cache-misses,8551.8,9102.4,8504
branches,201289.4,202394.8,197317.4
branch-misses,11414.8,11515.6,11306
page-faults,22.4,29.8,22.4
context-switches,3.2,2.2,2
cpu-migrations,0.2,0.6,0
LLC-load-misses,8664.4,11302,7432.4
time elapsed (s),80.68468687,133.8818784,81.49230421
dnsperf,,,
Queries sent,5000000,5000000,5000000
Queries completed,4950249,4950123,4949974
Queries lost,49751,49877,50026
Run time (s),80.082911,133.363578,80.8147688
Queries per second,61816.69662,37117.77125,61263.93231
Average Latency (s),0.000297,0.0016194,0.0003014
Min Latency (s),0.000014,0.0000332,0.0000154
Max Latency (s),0.004795,0.0223144,0.0053706
Latency StdDev (s),0.0002174,0.0005442,0.0002164
