,Zig,Go,Rust
perf,,,
cycles,1790839.6,2097505.4,2203898.8
instructions,994499.4,1030044.2,1009630.6
cache-references,372534.4,382383.4,377056
cache-misses,8583.4,9258.8,8794.2
branches,195477.8,203738.8,198965.4
branch-misses,11033.8,10555,10858.6
page-faults,22.4,29.6,22.6
context-switches,2.2,2.4,1.8
cpu-migrations,0.4,0.2,0
LLC-load-misses,8102.4,11240.8,13770
time elapsed (s),65.06496892,106.660186,34.83979615
dnsperf,,,
Queries sent,5000000,5000000,5000000
Queries completed,4950107.6,4949809.2,4782164
Queries lost,49892.4,50190.8,217836
Run time (s),64.5694598,105.9646112,33.9854974
Queries per second,76674.66314,46712.23013,140765.6455
Average Latency (s),0.00019,0.0010178,0.0012682
Min Latency (s),0.0000208,0.0000382,0.0000146
Max Latency (s),0.017723,0.0145532,0.0394402
Latency StdDev (s),0.0001718,0.0004618,0.000718
